id,created_at (EDT),event_type,event_action,actor,repo
4100470358,2016-06-03T16:12:22Z,PullRequestEvent,closed,KirstieJane,KirstieJane/STEMMRoleModels
4100470352,2016-06-03T16:12:22Z,IssuesEvent,closed,KirstieJane,KirstieJane/STEMMRoleModels
4100470186,2016-06-03T16:12:20Z,IssueCommentEvent,created,KirstieJane,KirstieJane/STEMMRoleModels
4100437407,2016-06-03T16:05:00Z,PullRequestEvent,opened,jayqi,KirstieJane/STEMMRoleModels
4100154688,2016-06-03T15:09:08Z,ForkEvent,,jayqi,KirstieJane/STEMMRoleModels
4097227555,2016-06-03T00:14:59Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4097138673,2016-06-02T23:45:47Z,IssuesEvent,opened,deniederhut,KirstieJane/STEMMRoleModels
4097132856,2016-06-02T23:43:52Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4097107671,2016-06-02T23:35:48Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4097107629,2016-06-02T23:35:48Z,PullRequestEvent,closed,KirstieJane,KirstieJane/STEMMRoleModels
4097106547,2016-06-02T23:35:29Z,IssueCommentEvent,created,KirstieJane,KirstieJane/STEMMRoleModels
4097098146,2016-06-02T23:32:53Z,PullRequestEvent,opened,deniederhut,KirstieJane/STEMMRoleModels
4097091725,2016-06-02T23:30:55Z,IssueCommentEvent,created,KirstieJane,KirstieJane/STEMMRoleModels
4097084089,2016-06-02T23:28:39Z,IssuesEvent,opened,KirstieJane,KirstieJane/STEMMRoleModels
4097000506,2016-06-02T23:04:12Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096966390,2016-06-02T22:54:54Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096963768,2016-06-02T22:54:09Z,ForkEvent,,deniederhut,KirstieJane/STEMMRoleModels
4096833965,2016-06-02T22:19:52Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096823229,2016-06-02T22:17:07Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096243391,2016-06-02T20:14:45Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096235805,2016-06-02T20:13:10Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096224936,2016-06-02T20:11:01Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096206446,2016-06-02T20:07:18Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096192970,2016-06-02T20:04:33Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096173777,2016-06-02T20:00:37Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096157539,2016-06-02T19:57:35Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096153072,2016-06-02T19:56:41Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096126097,2016-06-02T19:51:07Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096120723,2016-06-02T19:49:56Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4096038177,2016-06-02T19:33:12Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4095948519,2016-06-02T19:14:59Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4095943056,2016-06-02T19:13:49Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4095919370,2016-06-02T19:09:01Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4095919006,2016-06-02T19:08:56Z,PullRequestEvent,closed,KirstieJane,KirstieJane/STEMMRoleModels
4095890733,2016-06-02T19:03:14Z,ForkEvent,,badams19,KirstieJane/STEMMRoleModels
4095704566,2016-06-02T18:26:51Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4095639404,2016-06-02T18:14:16Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
